05/05/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
05/07/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,55,"2,310",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"7,863",0.07,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,751,0.86,YES,8.61,107.85,<0.001,-,-,
05/11/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY STORM WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,99.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"10,222",0.09,1%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,89,0.1,YES,10.31,18.60,<0.001,-,-,
05/11/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY STORM WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,99.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"10,222",0.09,1%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,89,0.1,YES,10.31,18.60,<0.001,-,-,
05/12/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,40,"1,680",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"5,719",0.05,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,546,0.63,YES,6.27,107.85,<0.001,-,-,
05/12/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK AND SEPARATOR TANK SECONDARY CONTAINTMENTS.,STORMWATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,25,"1,050",99%,99.0%,1.,-0-,Stormwater,NO,"3,932",-0-,1%,0.85,0.03,Stormwater,NO,34,<0.01,YES,3.97,<0.001,<0.001,<0.001,<0.001,
05/15/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
05/17/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,50,"2,100",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"7,149",0.06,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,683,0.78,YES,7.83,107.85,<0.001,-,-,
05/17/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101 SECONDARY CONTAINMENT .,STORMWATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,5,210,99%,99.0%,1.,-0-,Stormwater,NO,786,-0-,1%,0.85,0.03,Stormwater,NO,7,<0.01,YES,0.79,<0.001,<0.001,-,-,
05/21/2014,307168,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,130,"5,460",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"18,586",0.16,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,"1,776",2.03,YES,20.36,107.85,<0.001,-,-,
05/22/2014,307168,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,130,"5,460",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"18,586",0.16,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,"1,776",2.03,YES,20.36,107.85,<0.001,-,-,
05/23/2014,307168,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,95,"3,990",>90%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"13,582",0.12,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,"1,298",1.49,YES,14.88,107.85,<0.001,-,-,
05/24/2014,307168,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,100,"4,200",>90%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"14,297",0.13,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,"1,366",1.56,YES,15.66,107.85,<0.001,-,-,
05/24/2014,307168,CRUDE DOCKS UNLOADING,CRUDE DOCKS - CONTAINMENTS,STORMWATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,15,630,99%,99.0%,1.,-0-,Stormwater,NO,"2,359",-0-,1%,0.85,0.03,Stormwater,NO,20,<0.01,YES,2.38,<0.001,<0.001,<0.001,<0.001,
05/28/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,67,"2,814",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,579",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,915,1.05,YES,10.49,107.85,<0.001,-,-,
05/31/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,60,"2,520",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"8,578",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,820,0.94,YES,9.4,107.85,<0.001,-,-,
06/04/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
06/06/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,67,"2,814",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,579",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,915,1.05,YES,10.49,107.85,<0.001,-,-,
06/11/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
06/15/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
06/15/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,55,"2,310",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"7,863",0.07,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,751,0.86,YES,8.61,107.85,<0.001,-,-,
06/18/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
06/19/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,70,"2,940",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"10,008",0.09,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,956,1.09,YES,10.96,107.85,<0.001,-,-,
06/24/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,67,"2,814",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,579",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,915,1.05,YES,10.49,107.85,<0.001,-,-,
06/27/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,67,"2,814",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,579",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,915,1.05,YES,10.49,107.85,<0.001,-,-,
04/03/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,30,"1,260",>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"4,289",0.1,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,371,2.95,YES,4.66,653.74,<0.001,-,-,
04/03/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 - TANK 6,NO,Tank 6,YES,NO,35,"1,470",<10%,10.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,556,0.01,90%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,"3,898",30.93,YES,4.45,"6,945.98",0.03,-,-,
04/10/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,10,420,>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"1,430",0.03,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,124,0.98,YES,1.55,653.74,<0.001,-,-,
04/10/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 - TANK 6,NO,Tank 6,YES,NO,30,"1,260",<10%,10.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,477,0.01,90%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,"3,341",26.51,YES,3.82,"6,945.98",0.03,-,-,
04/17/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,20,840,>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"2,859",0.07,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,247,1.96,YES,3.11,653.74,<0.001,-,-,
04/17/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,25,"1,050",<10%,10.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,397,<0.01,90%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,"2,784",22.09,YES,3.18,"6,945.98",0.02,-,-,
04/24/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,5,210,>90%,99%,1.,23.65,Denver Truck Terminal Aqueous,YES,786,0.02,1%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,6,0.05,YES,0.79,85.40,<0.001,-,-,
04/24/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 - TANK 6,NO,Tank 6,YES,NO,20,840,<10%,99%,1.,23.65,Denver Truck Terminal Aqueous,YES,"3,145",0.07,1%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,25,0.2,YES,3.17,85.40,<0.001,-,-,
05/01/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,5,210,>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,715,0.02,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,62,0.49,YES,0.78,653.74,<0.001,-,-,
05/01/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 - TANK 6,NO,Tank 6,YES,NO,20,840,<10%,10.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,318,<0.01,90%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,"2,227",17.67,YES,2.55,"6,945.98",0.02,-,-,
05/08/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,20,840,>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"2,859",0.07,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,247,1.96,YES,3.11,653.74,<0.001,-,-,
05/08/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 - TANK 6,NO,Tank 6,YES,NO,25,"1,050",<10%,10.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,397,<0.01,90%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,"2,784",22.09,YES,3.18,"6,945.98",0.02,-,-,
05/09/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - VAPOR SUMP,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,2,84,50-70%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,286,<0.01,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,25,0.2,YES,0.31,653.74,<0.001,<0.001,<0.001,
05/09/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - EMERGENCY BACK UP SUMP,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,3,126,50-70%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,429,0.01,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,37,0.29,YES,0.47,653.74,<0.001,-,-,
05/12/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,60,"2,520",>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"8,578",0.2,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,742,5.89,YES,9.32,653.74,<0.011,-,-,
05/15/2014,307168,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 OFF LODING DOCK S,NO,Plant 2,YES,NO,20,840,<10%,10.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,318,<0.01,90%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,"2,227",17.67,YES,2.55,"6,945.98",0.02,-,-,
05/21/2014,307168,DENVER TRUCK TERMINAL,DENVER TERMINAL - EMERGENCY BACK UP SUMP,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,50,"2,100",>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"7,149",0.17,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,619,4.91,YES,7.77,653.74,<0.011,-,-,
05/21/2014,307163,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,60,"2,520",>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"8,578",0.2,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,742,5.89,YES,9.32,653.74,<0.011,-,-,
05/23/2014,307168,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY STORM WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,35,"1,470",>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"5,004",0.12,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,433,3.44,YES,5.44,653.74,<0.001,-,-,
05/29/2014,307169,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,45,"1,890",>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"6,434",0.15,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,557,4.42,YES,6.99,653.74,<0.001,-,-,
06/05/2014,307169,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,5,210,>90%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,715,0.02,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,62,0.49,YES,0.78,653.74,<0.001,-,-,
06/05/2014,307169,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 - TANK 6,NO,Tank 6,YES,NO,25,"1,050",<10%,10.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,397,<0.01,90%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,"2,784",22.09,YES,3.18,"6,945.98",0.02,-,-,
06/16/2014,307166,DENVER TRUCK TERMINAL,DENVER TERMINAL - EMERGENCY BACK UP SUMP,"DIESEL AND GAS, WATER",PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,15,630,50-70%,50.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"1,191",0.03,50%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,928,7.36,YES,2.12,"3,487.19",<0.011,-,-,
06/26/2014,307166,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,10,420,99%,90.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"1,430",0.03,10%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,124,0.98,YES,1.55,653.74,<0.001,-,-,
06/26/2014,307166,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 -CRUDE DOCKS,NO,P2 Docks,YES,NO,20,840,<10%,10.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,318,<0.01,90%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,"2,227",17.67,YES,2.55,"6,945.98",0.02,-,-,
04/01/2014,307166,metro,recovery systems,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,25,"1,050",99%,99.0%,1.,1.69,All Groundwater,NO,"3,932",<0.01,1%,0.78,"5,350.",Remediation Oil,NO,31,0.17,YES,3.96,43.50,<0.001,<0.001,<0.001,
04/10/2014,307162,METRO,RECOVERY SYSTEMS,WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,65,"2,730",99%,99.0%,1.,1.69,All Groundwater,NO,"10,222",0.02,1%,0.78,"5,350.",Remediation Oil,NO,81,0.43,YES,10.3,43.50,<0.001,<0.001,<0.001,
04/22/2014,307163,METRO,METRO VAPOR RECOVERY UNITS,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,12,504,99%,99.0%,1.,1.69,All Groundwater,NO,"1,887",<0.01,1%,0.78,"5,350.",Remediation Oil,NO,15,0.08,YES,1.9,43.50,<0.001,<0.001,<0.001,
04/24/2014,307163,METRO,Metro - VAPOR RECOVERY UNITS ,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,18,756,99%,99.0%,1.,1.69,All Groundwater,NO,"2,831",<0.01,1%,0.78,"5,350.",Remediation Oil,NO,22,0.12,YES,2.85,43.50,<0.001,<0.001,<0.001,
