,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,,
04/01/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SPIDER BOX OMD,OILY WATER,PLANT 1 - VAC PAD - JOE R,YES, VAC PAD,NO,NO,35,"1,470",>90%,90.0%,,4.42,"Spider Sump, Aqueous Layer",NO,#VALUE!,#VALUE!,10%,0.8,"2,152.08","Spider Sump, Oil Layer",NO,444,0.96,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,
04/01/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 775 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD - JOE R,YES, VAC PAD,NO,NO,30,"1,260",>90%,95.5%,1,24,Crude,NO,"4,551",0.11,5%,0.79,"2,400",Crude,NO,169,0.41,YES,4.72,109.27,<0.001,<0.001,-,
04/01/2013,LV-2,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,WATER,PLANT 1 - VAC PAD - JOE R,NO, VAC PAD,NO,YES,3,126,99%,99.0%,1,<0.01,Stormwater,NO,472,<0.01,1%,0.85,0.03,Stormwater,NO,4,<0.01,YES,0.48,<0.001,<0.001,<0.001,<0.001,
04/01/2013,LV-2,PLANT 1 - UNIT 013 - #1 CRUDE,PLANT 1 - DESALTER T/A SV26343L FRAC TANK,CHEMICAL CLEANING WATER,PLANT 1 - VAC PAD - JOE R,YES, VAC PAD,NO,NO,120,"5,040",>90%,90.0%,1,27.56,Desalter Effluent,NO,"17,157",0.47,10%,0.83,"2,496.44",Desalter Effluent,NO,"1,584",3.95,YES,18.74,236.25,<0.001,<0.001,-,
04/01/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE DOCKS SUMP,OILY WATER,PLANT 1 - VAC PAD/ JOE RILEY ,NO, VAC PAD,NO,YES,4,168,99%,99.0%,1,24,Crude,NO,629,0.02,1%,0.79,"2,400",Crude,NO,5,0.01,YES,0.63,42.81,<0.001,<0.001,<0.001,
04/01/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD/ JOE RILEY ,YES, VAC PAD,NO,NO,87,"3,654",99%,95.5%,1,24,Crude,NO,"13,199",0.32,5%,0.79,"2,400",Crude,NO,491,1.18,YES,13.69,109.27,<0.001,<0.001,-,
04/01/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - PIPELINE FLUSH ,OILY WATER,PLANT 1 - VAC PAD/ JOE RILEY ,NO, VAC PAD,NO,YES,2,84,99%,99.0%,1,0.02,Diesel,NO,315,<0.01,1%,0.86,2,Diesel,NO,3,<0.01,YES,0.32,0.04,<0.001,<0.001,<0.001,
04/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 60 - OIL DRAIN,OIL,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,3,126,>90%,90.0%,,3.52,TK-60 Equalization Tank Aqueous,NO,#VALUE!,#VALUE!,10%,0.85,"1,230",TK-60 Equalization Tank,NO,41,0.05,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,
04/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - CENTRIFUGE GOOD OIL FRAC  TANK,OIL,PLANT 1 - CENTRIFUGE MIX TANKS,YES,TO,NO,NO,35,"1,470",<10%,10.0%,1,10.5,TK-4516 Slop Oil Tank Aqueous,NO,556,<0.01,90%,0.82,"1,633.33",TK-4516 Slop Oil Tank,YES,"4,098",6.69,YES,4.65,"1,439.47",<0.011,<0.011,-,
04/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,60,"2,520",>90%,90.0%,1,10.5,TK-4516 Slop Oil Tank Aqueous,NO,"8,578",0.09,10%,0.82,"1,633.33",TK-4516 Slop Oil Tank,YES,781,1.28,YES,9.36,145.86,<0.001,<0.001,-,
04/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,15,630,99%,99.0%,1,<0.01,Prooper Pit,YES,"2,359",<0.01,1%,0.85,<0.01,Prooper Pit,YES,20,<0.01,YES,2.38,<0.011,<0.001,<0.001,<0.001,
04/02/2013,LV-7,METRO,Metro - East of the ditch,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,3,126,>90%,90.0%,1,2.07,All Groundwater,YES,429,<0.01,10%,0.76,"7,457.5",Remediation Oil,YES,36,0.27,YES,0.47,580.76,<0.001,<0.001,-,
04/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,5,210,>90%,90.0%,1,2.07,All Groundwater,YES,715,<0.01,10%,0.76,"7,457.5",Remediation Oil,YES,60,0.45,YES,0.78,580.76,<0.001,<0.001,-,
04/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,7,294,<10%,10.0%,1,2.07,All Groundwater,YES,111,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,758,5.65,YES,0.87,"6,503.68",<0.011,<0.011,-,
04/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 2 (clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,12,504,<10%,10.0%,1,2.07,All Groundwater,YES,191,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,"1,299",9.69,YES,1.49,"6,503.68",<0.011,<0.011,-,
04/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 3 (clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,8,336,<10%,10.0%,1,2.07,All Groundwater,YES,127,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,866,6.46,YES,0.99,"6,503.68",<0.011,<0.011,-,
04/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 4(clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,8,336,<10%,10.0%,1,2.07,All Groundwater,YES,127,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,866,6.46,YES,0.99,"6,503.68",<0.011,<0.011,-,
04/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,40,"1,680",>90%,95.5%,1,0.1,Ultra Low Sulfur Diesel,NO,"6,068",<0.01,5%,0.84,10,Ultra Low Sulfur Diesel,NO,240,<0.01,YES,6.31,0.48,<0.001,<0.001,<0.001,
04/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 72 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,5,210,>90%,95.5%,1,0.1,Ultra Low Sulfur Diesel,NO,759,<0.01,5%,0.84,10,Ultra Low Sulfur Diesel,NO,30,<0.01,YES,0.79,0.48,<0.001,<0.001,<0.001,
04/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 96/97 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,10,420,>90%,95.5%,1,110.13,Post-GBR Gasoline,NO,"1,517",0.17,5%,0.75,"11,012.5",Post-GBR Gasoline,NO,54,0.59,YES,1.57,482.27,<0.001,<0.001,<0.001,
04/02/2013,LV-2,PLANT 1 - UNIT 035 - FLUID CATALYTIC CRACKER,PLANT 1 - TANK 86/87 - TANK CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,15,630,99%,99.0%,1,<0.01,Stormwater,NO,"2,359",<0.01,1%,0.85,0.03,Stormwater,NO,20,<0.01,YES,2.38,<0.001,<0.001,<0.001,<0.001,
04/02/2013,LV-2,PLANT 1 - UNIT 035 - FLUID CATALYTIC CRACKER,PLANT 1 - TANK 86/87 - TANK CONTAINMENT,WATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,25,"1,050",99%,99.0%,1,<0.01,Stormwater,NO,"3,932",<0.01,1%,0.85,0.03,Stormwater,NO,34,<0.01,YES,3.97,<0.001,<0.001,<0.001,<0.001,
04/02/2013,LV-2,PLANT 3 - UNIT 032 - ASPHALT BLENDING AND LOADING,PLANT 3 - AU GAS OIL PAD PUMP CONTAINMENT,WATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,15,630,99%,99.0%,1,<0.01,Stormwater,NO,"2,359",<0.01,1%,0.85,0.03,Stormwater,NO,20,<0.01,YES,2.38,<0.001,<0.001,<0.001,<0.001,
04/02/2013,LV-2,PLANT 3 - UNIT 032 - ASPHALT BLENDING AND LOADING,PLANT 3 - CPI CONTAINMENT,WATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,30,"1,260",99%,99.0%,1,<0.01,Stormwater,NO,"4,718",<0.01,1%,0.85,0.03,Stormwater,NO,41,<0.01,YES,4.76,<0.001,<0.001,<0.001,<0.001,
04/02/2013,LV-2,PLANT 1 - UNIT 013 - #1 CRUDE,PLANT 1 - DESALTER T/A SV26343L FRAC TANK,CHEMICAL CLEANING WATER,PLANT 1 - VAC PAD - TIM S,YES, VAC PAD,NO,NO,120,"5,040",>90%,90.0%,1,27.56,Desalter Effluent,NO,"17,157",0.47,10%,0.83,"2,496.44",Desalter Effluent,NO,"1,584",3.95,YES,18.74,236.25,<0.001,<0.001,-,
04/02/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD/ TIM,YES, VAC PAD,NO,NO,50,"2,100",99%,95.5%,1,24,Crude,NO,"7,585",0.18,5%,0.79,"2,400",Crude,NO,282,0.68,YES,7.87,109.27,<0.001,<0.001,-,
04/02/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE DOCKS SUMP,OILY WATER,PLANT 1 - VAC PAD/ TIM,NO, VAC PAD,NO,YES,5,210,99%,99.0%,1,24,Crude,NO,786,0.02,1%,0.79,"2,400",Crude,NO,6,0.02,YES,0.79,42.81,<0.001,<0.001,<0.001,
04/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,OIL,PLANT 1 - CENTRIFUGE MIX TANKS,YES,TO,NO,NO,300,"12,600",<10%,10.0%,1,10.5,TK-4516 Slop Oil Tank Aqueous,NO,"4,766",0.05,90%,0.82,"1,633.33",TK-4516 Slop Oil Tank,YES,"35,128",57.38,YES,39.89,"1,439.47",0.06,0.06,-,
04/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 60 - OIL DRAIN,OIL,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,5,210,>90%,90.0%,,3.52,TK-60 Equalization Tank Aqueous,NO,#VALUE!,#VALUE!,10%,0.85,"1,230",TK-60 Equalization Tank,NO,68,0.08,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,
04/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,15,630,99%,99.0%,1,<0.01,Prooper Pit,YES,"2,359",<0.01,1%,0.85,<0.01,Prooper Pit,YES,20,<0.01,YES,2.38,<0.011,<0.001,<0.001,<0.001,
04/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - DEWATERING BOX - SLUDGE,SLUDGE AND WATER,PLANT 1 - TANK 29,NO, VAC PAD,NO,YES,60,"2,520",30-50%,30.0%,1,4.17,sludge processing,NO,"2,859",0.01,70%,1.07,417,sludge processing,NO,"7,146",2.98,YES,10.01,299.01,<0.001,<0.001,<0.001,
04/03/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),DEWATERING BOX,SLUDGE AND WATER,PLANT 1 - TANK 29,NO, VAC PAD,NO,YES,20,840,<10%,10.0%,1,4.17,sludge processing,NO,318,<0.01,90%,1.07,417,sludge processing,NO,"3,062",1.28,YES,3.38,378.20,<0.001,<0.001,<0.001,
04/03/2013,LV-7,METRO,Metro - East of the ditch,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,4,168,>90%,90.0%,1,2.07,All Groundwater,YES,572,<0.01,10%,0.76,"7,457.5",Remediation Oil,YES,48,0.36,YES,0.62,580.76,<0.001,<0.001,-,
04/03/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,8,336,>90%,90.0%,1,2.07,All Groundwater,YES,"1,144",<0.01,10%,0.76,"7,457.5",Remediation Oil,YES,96,0.72,YES,1.24,580.76,<0.001,<0.001,-,
04/03/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,7,294,<10%,10.0%,1,2.07,All Groundwater,YES,111,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,758,5.65,YES,0.87,"6,503.68",<0.011,<0.011,-,
04/03/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 2 (clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,10,420,<10%,10.0%,1,2.07,All Groundwater,YES,159,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,"1,083",8.08,YES,1.24,"6,503.68",<0.011,<0.011,-,
04/03/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 3 (clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,8,336,<10%,10.0%,1,2.07,All Groundwater,YES,127,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,866,6.46,YES,0.99,"6,503.68",<0.011,<0.011,-,
04/03/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 4(clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,7,294,<10%,10.0%,1,2.07,All Groundwater,YES,111,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,758,5.65,YES,0.87,"6,503.68",<0.011,<0.011,-,
04/03/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - NOC PARKING LOT,STORMWATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,45,"1,890",99%,99.0%,1,<0.01,Stormwater,NO,"7,077",<0.01,1%,0.85,0.03,Stormwater,,61,<0.01,YES,7.14,<0.001,<0.001,<0.001,<0.001,
04/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - CRUDE UNLOADING SUMP,OILY WATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,15,630,>90%,90.0%,1,24,Crude,NO,"2,145",0.05,10%,0.79,"2,400",Crude,NO,188,0.45,YES,2.33,215.73,<0.001,<0.001,<0.001,
04/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,20,840,>90%,95.5%,1,0.1,Ultra Low Sulfur Diesel,NO,"3,034",<0.01,5%,0.84,10,Ultra Low Sulfur Diesel,NO,120,<0.01,YES,3.15,0.48,<0.001,<0.001,<0.001,
04/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SPIDER BOX OMD,OILY WATER,PLANT 1 - VAC PAD - TIM S,YES, VAC PAD,NO,NO,45,"1,890",>90%,90.0%,,4.42,"Spider Sump, Aqueous Layer",NO,#VALUE!,#VALUE!,10%,0.8,"2,152.08","Spider Sump, Oil Layer",NO,571,1.23,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,
04/03/2013,LV-2,PLANT 1 - SPILLS,PLANT 1 - TANK 55 - PIPE BREAK,OILY WATER,PLANT 1 - VAC PAD - TIM S,NO, VAC PAD,NO,YES,17,714,>90%,90.0%,1,110.13,Post-GBR Gasoline,NO,"2,431",0.27,10%,0.75,"11,012.5",Post-GBR Gasoline,NO,203,2.23,YES,2.63,948.77,<0.001,<0.001,<0.001,
04/03/2013,LV-2,PLANT 1 - SPILLS,PLANT 1 - TANK 55 - PIPE BREAK,GASOLINE,PLANT 1 - VAC PAD - TIM S / ROB WEBBER,NO, VAC PAD,NO,YES,0.9523809524,40,<10%,10.0%,1,110.13,Post-GBR Gasoline,NO,15,<0.01,90%,0.75,"11,012.5",Post-GBR Gasoline,NO,102,1.12,YES,0.12,"9,605.74",<0.001,<0.001,<0.001,
04/03/2013,LV-2,PLANT 1 - UNIT 013 - #1 CRUDE,PLANT 1 - DESALTER T/A SV26343L FRAC TANK,CHEMICAL CLEANING WATER,PLANT 1 - VAC PAD - TIM S,YES, VAC PAD,NO,NO,70,"2,940",>90%,90.0%,1,27.56,Desalter Effluent,NO,"10,008",0.28,10%,0.83,"2,496.44",Desalter Effluent,NO,924,2.31,YES,10.93,236.25,<0.001,<0.001,-,
04/03/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE DOCKS SUMP,OILY WATER,PLANT 1 - VAC PAD/TIM,NO, VAC PAD,NO,YES,7,294,99%,99.0%,1,24,Crude,NO,"1,101",0.03,1%,0.79,"2,400",Crude,NO,9,0.02,YES,1.11,42.81,<0.001,<0.001,<0.001,
04/03/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD/TIM,YES, VAC PAD,NO,NO,111,"4,662",99%,95.5%,1,24,Crude,NO,"16,840",0.4,5%,0.79,"2,400",Crude,NO,627,1.5,YES,17.47,109.27,<0.001,<0.001,-,
04/03/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 57 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD/TIM,YES, VAC PAD,NO,NO,1,42,99%,95.5%,1,0.6,Jet,NO,152,<0.01,5%,0.79,60,Jet,NO,6,<0.01,YES,0.16,2.74,<0.001,<0.001,-,
04/03/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 62 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD/TIM,YES, VAC PAD,NO,NO,2,84,99%,95.5%,1,0.6,Jet,NO,303,<0.01,5%,0.79,60,Jet,NO,11,<0.01,YES,0.31,2.74,<0.001,<0.001,-,
04/03/2013,LV-1,PLANT 2 - UNIT 310 - LPG & CRUDE LOADING,PLANT 2 - LPG AREA SUMP,OILY WATER,PLANT 1 - VAC PAD/TIM,NO, VAC PAD,NO,YES,1,42,99%,99.0%,1,<0.01,Sat LPG Feed Drum D-801,NO,157,<0.01,1%,0.85,0.24,Sat LPG Feed Drum D-801,,1,<0.01,YES,0.16,<0.001,<0.001,<0.001,<0.001,
04/03/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4513 - SLUDGE,SLUDGE AND WATER,PLANT 1 - TANK 29,NO, VAC PAD,NO,YES,60,"2,520",10-30%,10.0%,1,4.17,sludge processing,NO,953,<0.01,90%,1.07,417,sludge processing,NO,"9,187",3.83,YES,10.14,378.20,<0.001,<0.001,<0.001,
04/03/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 27 - SLUDGE,SLUDGE AND WATER,PLANT 1 - TANK 29,NO, VAC PAD,NO,YES,15,630,30-50%,30.0%,1,4.17,sludge processing,NO,715,<0.01,70%,1.07,417,sludge processing,NO,"1,786",0.74,YES,2.5,299.01,<0.001,<0.001,<0.001,
04/03/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - CENTRIFUGE CONTAINMENT ,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,5,210,99%,99.0%,1,10.5,TK-4516 Slop Oil Tank Aqueous,NO,786,<0.01,1%,0.82,"1,633.33",TK-4516 Slop Oil Tank,YES,7,0.01,YES,0.79,23.82,<0.001,<0.001,<0.001,
04/03/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - SAMPLE POINTS -CONTAINMENTS ENVIRONMENTAL,STORMWATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,15,630,99%,99.0%,1,<0.01,Stormwater,NO,"2,359",<0.01,1%,0.85,0.03,Stormwater,NO,20,<0.01,YES,2.38,<0.001,<0.001,<0.001,<0.001,
04/03/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,YES,NO,60,"2,520",>90%,90.0%,1,11.33,T-101 Underground Storage Tank Aqueous,YES,"8,578",0.1,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,823,0.94,YES,9.4,110.47,<0.001,-,-,
04/04/2013,LV-7,METRO,Metro - East of the ditch,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,3,126,>90%,90.0%,1,2.07,All Groundwater,YES,429,<0.01,10%,0.76,"7,457.5",Remediation Oil,YES,36,0.27,YES,0.47,580.76,<0.001,<0.001,-,
